"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"藍色管弦樂",243000,10125,"2023","春番",24,"4.8",1029,"岸誠二","日本動畫公司","校園","青春","音樂",NULL,NULL,NULL,"漫畫改編","新作"
"肌肉魔法使-MASHLE-",3603000,277154,"2023","春番",13,"4.8",13340,"田中智也","A-1 Pictures","奇幻","魔法","校園","喜劇",NULL,NULL,"漫畫改編","新作"
"勇者死了！",1320000,110000,"2023","春番",12,"4.7",5679,"久城凜音","LIDENFILMS","冒險","奇幻","喜劇",NULL,NULL,NULL,"漫畫改編","新作"
"和山田談場 Lv999 的戀愛",2895000,222692,"2023","春番",13,"4.9",15384,"淺香守生","MADHOUSE","喜劇","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"我內心的糟糕念頭",2304000,192000,"2023","春番",12,"4.9",18761,"赤城博昭","新銳動畫","校園","喜劇","戀愛",NULL,NULL,NULL,"漫畫改編","新作"
"百合是我的工作！",303000,25250,"2023","春番",12,"4.6",2191,"三瓶聖","Passione×Studio Lings","喜劇","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"放學後失眠的你",467000,35923,"2023","春番",13,"4.9",4467,"池田由紀","LIDENFILMS","校園","戀愛","青春",NULL,NULL,NULL,"漫畫改編","新作"
"Re：從零開始的異世界生活 新編集版",3301000,126962,"2020","冬番",26,"4.9",3878,"渡邊政治","WHITE FOX","動作","冒險","奇幻","異世界","魔法",NULL,"小說改編","續作"
"無神世界的神明活動",2496000,208000,"2023","春番",12,"4.9",14881,"稻葉友紀","studio Palette","冒險","奇幻",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"鬼滅之刃 無限列車篇",2058000,294000,"2021","秋番",7,"4.7",6097,"外崎春雄","ufotable","動作","冒險","奇幻","血腥暴力",NULL,NULL,"漫畫改編","續作"
"獻祭公主與獸王",407000,16958,"2023","春番",24,"4.9",2068,"今千秋","J.C.STAFF","奇幻","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"帶著智慧型手機闖蕩異世界。2",918000,76500,"2023","春番",12,"3.8",5712,"岩崎良明","J.C.STAFF","冒險","奇幻","異世界",NULL,NULL,NULL,"小說改編","續作"
"在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～",2984000,229538,"2023","春番",13,"3.6",15740,"田邊慎吾","Millepensee","冒險","奇幻","異世界","超能力",NULL,NULL,"小說改編","新作"
"江戶前精靈",919000,76583,"2023","春番",12,"4.9",7369,"安齋剛文","C2C","喜劇","歷史",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"熊熊勇闖異世界 PUNCH！",829000,69083,"2023","春番",12,"4.7",4730,"信田悠","EMT Squared","動作","冒險","奇幻","異世界",NULL,NULL,"小說改編","續作"
"躍動青春",192000,16000,"2023","春番",12,"5",2359,"出合小都美","P.A.WORKS","校園","喜劇","青春",NULL,NULL,NULL,"漫畫改編","新作"
"鄰人似銀河",524000,43667,"2023","春番",12,"4.8",4008,"木村隆一","旭Production","戀愛","溫馨",NULL,NULL,NULL,NULL,"漫畫改編","新作"
